year,date,cpi_new_vehicles,cpi_all_items
1970,1970-12-01,56.3,39.8
1971,1971-01-01,56.9,39.9
1971,1971-02-01,56.8,39.9
1971,1971-03-01,56.4,40
1971,1971-04-01,56.2,40.1
1971,1971-05-01,56.2,40.3
1971,1971-06-01,56.2,40.5
1971,1971-07-01,56.2,40.6
1971,1971-08-01,53.9,40.7
1971,1971-09-01,52.1,40.8
1971,1971-10-01,53.8,40.9
1971,1971-11-01,54.1,41
1971,1971-12-01,54.5,41.1
1972,1972-01-01,55.4,41.2
1972,1972-02-01,55.2,41.4
1972,1972-03-01,55.1,41.4
1972,1972-04-01,55.1,41.5
1972,1972-05-01,55,41.6
1972,1972-06-01,54.9,41.7
1972,1972-07-01,54.8,41.8
1972,1972-08-01,54.6,41.9
1972,1972-09-01,54.1,42.1
1972,1972-10-01,54.3,42.2
1972,1972-11-01,54.4,42.4
1972,1972-12-01,54.6,42.5
1973,1973-01-01,54.8,42.7
1973,1973-02-01,54.8,43
1973,1973-03-01,54.7,43.4
1973,1973-04-01,54.8,43.7
1973,1973-05-01,54.8,43.9
1973,1973-06-01,54.8,44.2
1973,1973-07-01,54.7,44.2
1973,1973-08-01,54.6,45
1973,1973-09-01,53.8,45.2
1973,1973-10-01,55.2,45.6
1973,1973-11-01,55.4,45.9
1973,1973-12-01,55.3,46.3
1974,1974-01-01,55.7,46.8
1974,1974-02-01,55.6,47.3
1974,1974-03-01,55.7,47.8
1974,1974-04-01,55.9,48.1
1974,1974-05-01,56.6,48.6
1974,1974-06-01,57.4,49
1974,1974-07-01,58.2,49.3
1974,1974-08-01,58.3,49.9
1974,1974-09-01,58.4,50.6
1974,1974-10-01,61,51
1974,1974-11-01,61.4,51.5
1974,1974-12-01,61.6,51.9
1975,1975-01-01,60.9,52.3
1975,1975-02-01,61.4,52.6
1975,1975-03-01,62.8,52.8
1975,1975-04-01,62.9,53
1975,1975-05-01,62.6,53.1
1975,1975-06-01,62.7,53.5
1975,1975-07-01,62.5,54
1975,1975-08-01,62.6,54.2
1975,1975-09-01,62.4,54.6
1975,1975-10-01,64.1,54.9
1975,1975-11-01,64.8,55.3
1975,1975-12-01,66.1,55.6
1976,1976-01-01,66.2,55.8
1976,1976-02-01,66.3,55.9
1976,1976-03-01,66.4,56
1976,1976-04-01,66.3,56.1
1976,1976-05-01,66.4,56.4
1976,1976-06-01,66.4,56.7
1976,1976-07-01,66.3,57
1976,1976-08-01,66.3,57.3
1976,1976-09-01,66.2,57.6
1976,1976-10-01,68.6,57.9
1976,1976-11-01,68.9,58.1
1976,1976-12-01,69.3,58.4
1977,1977-01-01,69.6,58.7
1977,1977-02-01,69.4,59.3
1977,1977-03-01,69.5,59.6
1977,1977-04-01,69.4,60
1977,1977-05-01,69.8,60.2
1977,1977-06-01,69.9,60.5
1977,1977-07-01,69.9,60.8
1977,1977-08-01,69.9,61.1
1977,1977-09-01,69.6,61.3
1977,1977-10-01,71.9,61.6
1977,1977-11-01,73.1,62
1977,1977-12-01,74.3,62.3
1978,1978-01-01,74.5,62.7
1978,1978-02-01,74.6,63
1978,1978-03-01,74.6,63.4
1978,1978-04-01,74.6,63.9
1978,1978-05-01,75.3,64.5
1978,1978-06-01,75.8,65
1978,1978-07-01,75.9,65.5
1978,1978-08-01,75.9,65.9
1978,1978-09-01,75.8,66.5
1978,1978-10-01,76.7,67.1
1978,1978-11-01,78.2,67.5
1978,1978-12-01,78.9,67.9
1979,1979-01-01,79.6,68.5
1979,1979-02-01,80.1,69.2
1979,1979-03-01,80.3,69.9
1979,1979-04-01,81.1,70.6
1979,1979-05-01,81.8,71.4
1979,1979-06-01,82.1,72.2
1979,1979-07-01,82.3,73
1979,1979-08-01,82.2,73.7
1979,1979-09-01,82,74.4
1979,1979-10-01,82.7,75.2
1979,1979-11-01,84.2,76
